species_name,fold,site features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,,Survey,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Pacific Wren,1,66,93,302,380,147,473,286,138,15,105,106,56,28,100,185,66,40,50,25,54,68,163,128,34,51,25,97,87,,56,118,98,150,109,160,161,100,5,28,102,34,21,97,57,61,37,80,10,43,1,153,74,33,62,86,30,2,141,246,1013
Pacific Wren,2,28,9,53,44,44,243,29,22,5,13,17,3,9,7,3,4,2,12,3,7,5,6,11,12,8,2,9,8,,8,12,12,23,62,67,30,43,2,6,35,21,1,24,12,16,2,17,6,2,3,15,3,12,3,8,8,31,9,28,97
Pacific Wren,3,6,11,23,30,18,69,15,19,7,6,17,5,5,8,5,3,6,10,2,5,7,12,2,4,8,13,10,1,,4,10,21,21,23,27,6,18,2,8,26,3,2,15,4,1,1,8,0,5,2,4,1,4,1,6,4,3,13,8,76
Eurasian Collared-Dove,1,331,271,709,390,400,448,262,482,343,452,164,128,248,229,300,282,111,128,133,255,283,134,248,248,152,280,174,345,,707,300,474,226,191,161,172,197,250,304,182,56,124,124,73,45,135,38,314,120,100,36,49,120,92,52,39,195,21,228,2805
Eurasian Collared-Dove,2,211,206,353,430,360,302,270,510,276,361,199,178,193,176,136,265,131,67,171,124,83,110,155,181,184,220,179,346,,418,352,215,219,131,196,143,157,125,175,98,108,61,22,40,23,28,10,75,88,31,25,127,189,38,112,53,180,58,356,2524
Eurasian Collared-Dove,3,163,348,595,49,126,691,376,346,401,353,254,104,383,177,185,106,102,61,258,192,153,217,121,293,504,68,307,451,,493,356,494,133,113,411,198,185,171,63,84,70,145,164,141,79,61,29,138,92,72,35,45,96,118,138,54,278,52,260,2616
Common Yellowthroat,1,3,1,13,4,3,4,4,2,8,2,4,0,3,3,2,5,1,5,2,0,2,5,4,5,2,4,2,0,,5,6,9,7,0,2,1,4,0,0,0,3,2,1,4,0,1,0,2,3,2,3,1,3,4,3,2,1,5,6,13
Common Yellowthroat,2,489,218,1077,567,391,85,94,612,102,128,76,39,85,84,174,180,63,81,178,118,109,72,391,51,169,110,129,418,,347,147,490,416,88,183,124,97,130,88,22,41,65,92,48,135,27,25,110,45,187,40,119,107,52,63,136,201,29,417,2219
Common Yellowthroat,3,49,29,408,143,56,117,54,59,23,90,60,45,15,75,28,66,64,99,36,23,24,44,69,75,46,127,42,44,,127,57,254,124,46,75,26,85,94,17,15,14,4,38,13,5,14,18,14,8,16,14,45,11,21,39,6,45,45,55,665
Song Sparrow,1,10,1,35,17,1,15,4,20,2,20,3,8,3,2,7,5,5,7,7,0,7,5,13,9,4,6,9,0,,6,26,22,13,4,13,12,7,2,1,2,5,1,0,1,0,1,4,4,1,0,2,2,0,3,11,5,0,12,18,47
Song Sparrow,2,35,50,115,56,33,18,34,29,24,34,24,20,20,18,8,40,31,22,23,6,15,27,19,13,32,29,22,31,,16,16,48,32,21,6,23,13,33,39,6,11,13,5,5,18,8,14,14,4,13,19,9,10,20,21,12,14,11,43,311
Song Sparrow,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Western Meadowlark,1,51,12,96,50,53,327,12,180,91,17,58,3,7,20,1,14,14,25,0,42,8,49,56,11,38,22,29,14,,11,49,0,12,31,351,0,17,56,54,20,0,0,0,0,0,0,0,29,35,3,13,107,39,43,1,1,23,0,47,358
Western Meadowlark,2,83,46,205,137,46,356,36,174,112,28,60,19,39,10,18,56,33,6,39,39,24,26,53,53,55,16,116,83,,81,80,26,102,45,215,30,167,63,12,7,14,35,21,27,14,24,22,40,23,10,35,15,28,9,33,36,35,2,57,660
Western Meadowlark,3,513,371,269,138,208,831,115,381,65,104,45,73,37,44,66,59,84,21,85,89,63,25,62,228,107,53,83,131,,383,249,149,86,126,512,78,151,44,79,35,53,33,24,34,68,35,10,36,90,40,18,16,168,62,23,53,123,12,186,1374
