speices,model_id,fold,lr,batch_size,nNeurons,nLayers,mixed_weight
Common Yellowthroat,0,1,0.01,0,0,0,0
Common Yellowthroat,0,2,0.01,0,0,0,0
Common Yellowthroat,0,3,0.01,0,0,0,0
Common Yellowthroat,1,1,0.001,32,32,1,0
Common Yellowthroat,1,2,0.001,32,64,1,0
Common Yellowthroat,1,3,0.001,32,16,1,0
Common Yellowthroat,2,1,0.001,32,32,1,0
Common Yellowthroat,2,2,0.001,32,64,3,0.001
Common Yellowthroat,2,3,0.001,32,32,1,0.001
Eurasian Collared-Dove,0,1,0.01,0,0,0,0
Eurasian Collared-Dove,0,2,0.01,0,0,0,0
Eurasian Collared-Dove,0,3,0.01,0,0,0,0
Eurasian Collared-Dove,1,1,0.001,0,64,1,0
Eurasian Collared-Dove,1,2,0.001,32,64,1,0
Eurasian Collared-Dove,1,3,0.001,32,16,1,0
Eurasian Collared-Dove,2,1,0.001,32,64,3,0.001
Eurasian Collared-Dove,2,2,0.001,32,32,3,0
Eurasian Collared-Dove,2,3,0.001,32,16,3,0.001
Pacific Wren,0,1,0.01,0,0,0,0
Pacific Wren,0,2,0.01,0,0,0,0
Pacific Wren,0,3,0.01,0,0,0,0
Pacific Wren,1,1,0.001,0,64,1,0
Pacific Wren,1,2,0.001,0,64,1,0
Pacific Wren,1,3,0.001,0,32,1,0
Pacific Wren,2,1,0.001,32,64,3,0.01
Pacific Wren,2,2,0.001,0,16,1,0
Pacific Wren,2,3,0.001,32,16,1,0.001
Song Sparrow,0,1,0.01,0,0,0,0
Song Sparrow,0,2,0.01,0,0,0,0
Song Sparrow,0,3,0.01,0,0,0,0
Song Sparrow,1,1,0.001,32,16,1,0
Song Sparrow,1,2,0.001,327,32,1,0
Song Sparrow,1,3,0.001,32,16,1,0
Song Sparrow,2,1,0.001,32,64,1,0.01
Song Sparrow,2,2,0.001,32,16,3,0.01
Song Sparrow,2,3,0.001,32,16,3,0.01
Western Meadowlark,0,1,0.01,0,0,0,0
Western Meadowlark,0,2,0.01,0,0,0,0
Western Meadowlark,0,3,0.01,0,0,0,0
Western Meadowlark,1,1,0.001,0,16,1,0
Western Meadowlark,1,2,0.001,32,64,1,0
Western Meadowlark,1,3,0.001,32,64,1,0
Western Meadowlark,2,1,0.001,32,32,3,0.01
Western Meadowlark,2,2,0.001,32,64,1,0.01
Western Meadowlark,2,3,0.001,32,32,1,0.01
